E_Ha,DOS,Occupation,E_eV,E_minus_EF
,,,,
,,,,
0.02579979,1e-05,0.002,0.7020480507553787,-9.901759718172121
0.02679979,0.0,0.0,0.7292594370013668,-9.874548331926132
0.02779979,3e-05,0.006,0.7564708232473547,-9.847336945680144
0.02879979,3e-05,0.006,0.7836822094933427,-9.820125559434157
0.02979979,0.0,0.0,0.8108935957393307,-9.79291417318817
0.03079979,4e-05,0.008,0.8381049819853187,-9.76570278694218
0.03179979,0.0,0.0,0.8653163682313068,-9.738491400696192
0.03279979,6e-05,0.012,0.8925277544772948,-9.711280014450205
0.03379979,0.0,0.0,0.9197391407232828,-9.684068628204216
0.03479979,3e-05,0.006,0.9469505269692706,-9.656857241958228
0.03579979,0.0,0.0,0.9741619132152587,-9.62964585571224
0.03679979,6e-05,0.012,1.0013732994612468,-9.602434469466253
0.03779979,0.0,0.0,1.0285846857072347,-9.575223083220264
0.03879979,9e-05,0.018,1.0557960719532227,-9.548011696974276
0.03979979,0.0,0.0,1.0830074581992108,-9.520800310728289
0.04079979,3e-05,0.006,1.1102188444451988,-9.4935889244823
0.04179979,0.0,0.0,1.1374302306911868,-9.466377538236312
0.04279979,7e-05,0.014,1.1646416169371747,-9.439166151990324
0.04379979,6e-05,0.012,1.1918530031831627,-9.411954765744337
0.04479979,3e-05,0.006,1.2190643894291506,-9.38474337949835
0.04579979,0.0,0.0,1.2462757756751386,-9.35753199325236
0.04679979,6e-05,0.012,1.2734871619211268,-9.330320607006373
0.04779979,6e-05,0.012,1.3006985481671147,-9.303109220760385
0.04879979,3e-05,0.006,1.3279099344131027,-9.275897834514396
0.04979979,9e-05,0.018,1.3551213206590906,-9.248686448268408
0.05079979,0.0,0.0,1.3823327069050786,-9.22147506202242
0.05179979,6e-05,0.012,1.4095440931510665,-9.194263675776433
0.05279979,0.0,0.0,1.4367554793970547,-9.167052289530444
0.05379979,3e-05,0.006,1.4639668656430427,-9.139840903284457
0.05479979,3e-05,0.006,1.4911782518890306,-9.112629517038469
0.05579979,0.00015,0.03,1.5183896381350188,-9.08541813079248
0.05679979,0.0,0.0,1.5456010243810068,-9.058206744546492
0.05779979,9e-05,0.018,1.5728124106269945,-9.030995358300505
0.05879979,1e-05,0.002,1.6000237968729827,-9.003783972054517
0.05979979,6e-05,0.012,1.6272351831189706,-8.976572585808528
0.06079979,6e-05,0.012,1.6544465693649586,-8.94936119956254
0.06179979,6e-05,0.012,1.6816579556109468,-8.922149813316553
0.06279979,3e-05,0.006,1.7088693418569345,-8.894938427070565
0.06379979,0.0,0.0,1.7360807281029225,-8.867727040824576
0.06479979,0.00012,0.024,1.7632921143489106,-8.840515654578589
0.06579979,6e-05,0.012,1.7905035005948986,-8.813304268332601
0.06679979,6e-05,0.012,1.8177148868408866,-8.786092882086614
0.06779979,9e-05,0.018,1.8449262730868747,-8.758881495840624
0.06879979,0.0,0.0,1.8721376593328627,-8.731670109594637
0.06979979,9e-05,0.018,1.8993490455788506,-8.70445872334865
0.07079979,6e-05,0.012,1.9265604318248386,-8.67724733710266
0.07179979,0.0,0.0,1.9537718180708268,-8.650035950856672
0.07279979,0.00015,0.03,1.9809832043168147,-8.622824564610685
